"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Get user me","LMS service","2026-07-20","passed","2026-07-20","Get entity","Users","",""
"","303","Get file with incorrect file id","LMS service","2026-07-20","passed","2026-07-20","Validate entity","Files","",""
"","597","Attempt to create user with email: mail.ru","LMS service","2026-07-20","passed","2026-07-20","Create entity","Users","",""
"","318","Get file","LMS service","2026-07-20","passed","2026-07-20","Get entity","Files","",""
"","301","Create file with empty filename","LMS service","2026-07-20","passed","2026-07-20","Validate entity","Files","",""
"","19","Get exercises","LMS service","2026-07-20","passed","2026-07-20","Get entities","Exercises","",""
"","25","Create file","LMS service","2026-07-20","passed","2026-07-20","Create entity","Files","",""
"","21","Get exercise","LMS service","2026-07-20","passed","2026-07-20","Get entity","Exercises","",""
"","20","Update exercise","LMS service","2026-07-20","passed","2026-07-20","Update entity","Exercises","",""
"","321","Attempt to create user with email: example.com","LMS service","2026-07-20","passed","2026-07-20","Create entity","Users","",""
"","333","Update course","LMS service","2026-07-20","passed","2026-07-20","Update entity","Courses","",""
"","29","Create exercise","LMS service","2026-07-20","passed","2026-07-20","Create entity","Exercises","",""
"","297","Create file with empty filename","LMS service","2026-07-20","passed","2026-07-20","Validate entity","Files","",""
"","29","Delete file","LMS service","2026-07-20","passed","2026-07-20","Delete entity","Files","",""
"","24","Delete exercise","LMS service","2026-07-20","passed","2026-07-20","Delete entity","Exercises","",""
"","331","Get courses","LMS service","2026-07-20","passed","2026-07-20","Get entities","Courses","",""
"","621","Login with correct email and password","LMS service","2026-07-20","passed","2026-07-20","Login","Authentication","",""
"","29","Create course","LMS service","2026-07-20","passed","2026-07-20","Create entity","Courses","",""
"","632","Attempt to create user with email: gmail.com","LMS service","2026-07-20","passed","2026-07-20","Create entity","Users","",""
